15468317,ASUS DUAL 라데온 RX 6700 XT O12G OC D6 12GB,865000,865000,865000,865000,865000,865000,865000,865000,865000,865000,865000,865000,865000,855990,855990,855990,856000,885070,875060,875060,875060,875060,875060,875060,875060,875060
15552671,ASUS DUAL 라데온 RX 6700 XT O12G OC D6 12GB 대원CTS,668620,679000,805600,805600,805600,805600,805600,805600,805600,805600,813750,803250,803250,0,0,0,0,0,0,787500,787500,787500,787500,787500,787500,756000
10707171,ASUS DUAL 지포스 GTX 1650 4G D5 4GB,329730,329730,329730,329730,329730,329730,329730,329730,329730,329730,329730,329730,337230,337230,337230,337230,337230,337230,337230,337230,337230,337230,337230,337230,337230,337230
7779556,ASUS DUAL 지포스 GTX 1650 O4G D5 4GB,379370,379190,379010,378950,378890,378650,378470,378410,378350,378110,325490,325430,325070,324830,324890,324830,324600,324420,324230,324000,323810,323580,323390,323150,322910,322670
15468500,ASUS DUAL 지포스 GTX 1650 O4G OC MINI D6 4GB,427590,427590,427590,427590,427590,427590,427590,427590,427590,427590,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000
11068359,ASUS DUAL 지포스 GTX 1660 SUPER O6G EVO D6 6GB,469000,469000,469000,469000,469000,469000,469000,469000,409000,409000,409000,409000,409000,409000,409000,409000,409000,409000,409000,409000,409000,379000,379000,379000,379000,379000
16485713,ASUS DUAL 지포스 RTX 2060 EVO D6 12GB,543000,543000,559000,573990,573930,573690,573510,573330,573280,573270,573210,573150,572970,572910,572850,572790,572560,572550,572310,572070,571950,571900,571850,571850,571850,573950
13654145,ASUS DUAL 지포스 RTX 2060 EVO D6 6GB,468930,468870,468750,468570,468330,468090,467860,467670,467430,417120,416880,416700,415560,415450,415210,414960,414730,414600,414540,414310,414250,0,413820,413640,413400,414430
16180430,ASUS DUAL 지포스 RTX 2060 O12G EVO OC D6 12GB,557000,550840,550650,550470,550230,549990,549810,549750,549690,549510,549450,549390,549210,0,0,0,0,0,0,0,548370,548310,548080,547890,547660,547600
8084563,ASUS DUAL 지포스 RTX 2060 O6G EVO D6 6GB,501330,501330,501110,500940,500750,500630,500570,500390,500150,482160,499730,499550,499490,499430,499370,499310,499020,474990,474990,474990,474990,474990,474990,452990,452990,452990
13612532,ASUS DUAL 지포스 RTX 3060 O12G OC D6 12GB,593000,592870,592690,583000,583000,583000,583000,583000,583000,583000,583000,582990,582990,582990,582990,582930,582690,531000,539880,539640,528270,0,527970,525800,519620,522940
16478060,ASUS DUAL 지포스 RTX 3060 Ti D6 8GB,680000,680000,680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12821624,ASUS DUAL 지포스 RTX 3060 Ti O8G OC D6 8GB,720940,720810,720750,720390,720270,720210,720040,720030,770000,770000,770000,756000,756000,792000,792000,792000,792000,1314170,1314110,1313880,1313820,1313630,1313570,1313330,1313150,1312910
14857055,ASUS DUAL 지포스 RTX 3060 Ti O8G OC MINI D6 8GB,749800,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490,773490
15805079,ASUS DUAL 지포스 RTX 3070 D6 8GB,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630,897630
15754070,ASUS DUAL 지포스 RTX 3070 O8G OC D6 8GB,1265790,1265660,1265600,1265360,1265240,1265180,1265000,1264820,1264640,1264580,1264340,1264100,1263980,1263740,1263630,1263440,1263210,1262960,1262900,1262660,1262540,1262480,1262240,1262000,1261880,1261830
16315202,ASUS KO 지포스 RTX 3060 GAMING D6 12GB,916080,916080,916080,916080,916080,916080,916080,916080,916080,916080,916080,916080,936900,936780,936550,624690,624630,624390,651980,623970,623730,623490,623250,623020,623010,622780
14005937,ASUS KO 지포스 RTX 3060 O12G GAMING OC D6 12GB,621370,621360,621300,599650,599640,604650,604360,604170,604050,603870,603750,603499,603260,578090,578040,577800,528900,566000,566000,566000,566000,566000,566000,566000,566000,558900
12821543,ASUS KO 지포스 RTX 3060 Ti GAMING D6 8GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12821576,ASUS KO 지포스 RTX 3060 Ti O8G GAMING OC D6 8GB,808990,808990,808990,808990,808990,808990,808990,808990,808990,808990,808930,808750,808570,808330,808270,808210,799000,770990,799000,799000,799000,799000,799000,799000,799000,782300
12578006,ASUS KO 지포스 RTX 3070 GAMING D6 8GB,939900,939900,939900,939900,939900,939900,939900,939900,939900,939900,939900,939900,939900,939900,939900,939900,939900,939900,939900,939720,939900,907090,907090,907090,907090,907090
12578009,ASUS KO 지포스 RTX 3070 O8G GAMING OC D6 8GB,835950,835760,833980,833530,833280,833040,832750,832500,832280,832170,867300,867300,867300,867300,867300,867300,867300,863460,861960,859400,859400,859400,859400,859400,859400,859400
7779559,ASUS PH 지포스 GTX 1650 O4G D5 4GB,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,349800,281400,281400,281400
14346383,ASUS PH 지포스 GTX 1650 O4G D6 4GB,488120,488000,487930,487750,487570,487400,487210,487150,486910,486670,486610,486430,486310,485890,485890,485890,485760,485520,485460,485230,485910,485720,485660,485420,485300,497280
7463521,ASUS PH 지포스 GTX 1660 O6G D5 6GB,456530,456350,456230,456050,456000,455940,455750,455690,394570,394510,394270,394210,393970,393910,393850,393790,393560,393550,393490,393250,393010,365620,365380,365140,364900,364660
11645843,ASUS PH 지포스 GTX 1660 SUPER O6G D6 6GB,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120,424120
14824025,ASUS PH 지포스 RTX 3060 D6 12GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519800,519800,519800,519800,519800,527660
13562696,ASUS ROG STRIX LC 라데온 RX 6800 XT O16G GAMING OC D6 16GB,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170
12990644,ASUS ROG STRIX LC 라데온 RX 6800 XT O16G GAMING OC D6 16GB 대원CTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13562870,ASUS ROG STRIX LC 라데온 RX 6900 XT O16G GAMING OC D6 16GB,2095000,2095000,2095000,2095000,2095000,2095000,2043600,2043600,2043600,2043600,1610040,1610040,1610040,1610040,1610040,1610040,1610040,1610040,1610040,1610040,1610040,1610040,1610040,1610040,1610040,1610040
14351603,ASUS ROG STRIX LC 라데온 RX 6900 XT O16G GAMING OC D6 16GB 대원CTS,2039650,2039520,2039460,2039280,1994110,1993870,1992680,1992500,1992260,1992080,1991960,1991780,1991600,1980220,1980110,1979920,1979690,1979440,1979330,1979320,1979150,1979090,1978900,1978840,1978600,1978310
14452217,ASUS ROG STRIX LC 라데온 RX 6900 XT T16G GAMING D6 16GB 대원CTS,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000
17011961,ASUS ROG STRIX LC 지포스 RTX 3090 Ti O24G OC D6X 24GB (해외구매),0,0,0,0,0,0,0,0,0,0,5507250,5507250,5507250,5507250,5507250,5507250,5507250,5779650,5779650,5779650,5779650,5779650,5779650,5779650,5779650,5779650
15013721,ASUS ROG STRIX 라데온 RX 6600 XT O8G GAMING OC D6 8GB 대원CTS,711000,710870,710690,710510,710290,710050,705770,705530,705350,705110,671820,671640,671940,662120,663790,663600,663360,663180,663000,662940,662700,662470,662280,662100,662040,661750
13648004,ASUS ROG STRIX 라데온 RX 6700 XT O12G GAMING OC D6 12GB,876960,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1440000,1440000,1440000,1440000,1440000,1440000,1440000
13653392,ASUS ROG STRIX 라데온 RX 6700 XT O12G GAMING OC D6 12GB 대원CTS,876960,1298000,1298000,913000,913000,913000,913000,913000,913000,913000,913000,913000,913000,913000,913000,913000,748000,748000,1659000,1659000,1659000,1659000,1659000,1659000,1659000,1659000
