14824025,ASUS PH 지포스 RTX 3060 D6 12GB,444990,444920,433500,433500,433500,433500,433500,433500,433500,433500,433500,433500,433500,433500,433840
13562696,ASUS ROG STRIX LC 라데온 RX 6800 XT O16G GAMING OC D6 16GB,2055170,2055170,0,0,0,0,0,0,0,0,0,0,0,0,0
13562870,ASUS ROG STRIX LC 라데온 RX 6900 XT O16G GAMING OC D6 16GB,1974440,1974440,1974440,1974440,1974440,1974440,1974440,1974440,1974440,1974440,1974440,0,0,0,1974440
14351603,ASUS ROG STRIX LC 라데온 RX 6900 XT O16G GAMING OC D6 16GB 대원씨티에스,0,0,0,0,0,0,0,0,1972590,1972590,1972590,1972590,1972590,1972590,1972590
14452217,ASUS ROG STRIX LC 라데온 RX 6900 XT T16G GAMING D6 16GB 대원씨티에스,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000
10921320,ASUS ROG STRIX 라데온 RX 570 O8G GAMING D5 8GB 대원씨티에스,564700,571510,571510,571510,571510,571510,571510,571510,571510,571510,571510,571510,577610,571520,571510
15013721,ASUS ROG STRIX 라데온 RX 6600 XT O8G GAMING OC D6 8GB 대원씨티에스,487450,487450,487450,487450,487450,487450,0,0,487450,0,487450,487450,487450,487450,487450
13648004,ASUS ROG STRIX 라데온 RX 6700 XT O12G GAMING OC D6 12GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13653392,ASUS ROG STRIX 라데온 RX 6700 XT O12G GAMING OC D6 12GB 대원씨티에스,1390000,1390000,1390000,1390000,1390000,1390000,1390000,1390000,1390000,1390000,1390000,1390000,1390000,1390000,1390000
13563083,ASUS ROG STRIX 라데온 RX 6800 O16G GAMING OC D6 16GB,895250,895230,814720,822250,822240,822190,822170,822150,808290,808260,808240,808220,808200,808160,808140
12990398,ASUS ROG STRIX 라데온 RX 6800 O16G GAMING OC D6 16GB 대원씨티에스,882710,882690,809460,808350,808350,808350,808290,808290,808230,808190,808170,808110,808070,808290,808290
13467587,ASUS ROG STRIX 지포스 RTX 3060 O12G GAMING OC D6 12GB,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750
12821834,ASUS ROG STRIX 지포스 RTX 3060 Ti O8G GAMING OC D6 8GB,1120180,1120180,1120180,1120180,1120180,1120180,1120180,1120180,1120180,1120180,1120180,1120180,1120180,1120180,1120180
13212008,ASUS ROG STRIX 지포스 RTX 3070 O8G GAMING OC D6 8GB,1020000,1020000,1020000,1020000,1020000,1020000,4424600,4424600,4424600,4424600,4424600,4424600,4424600,4424600,4424600
14444174,ASUS ROG STRIX 지포스 RTX 3070 Ti GAMING D6X 8GB,1122280,1122280,1122280,1122280,1122280,1122280,1122280,1122280,1122280,1122280,1122280,1122280,1122280,1122280,1122280
14444267,ASUS ROG STRIX 지포스 RTX 3070 Ti O8G GAMING OC D6X 8GB,944490,944480,944420,944400,944390,950830,0,963720,963700,976640,976620,976600,976580,976540,976520
16478888,ASUS ROG STRIX 지포스 RTX 3080 GAMING D6X 12GB,0,0,0,0,0,0,0,0,1720400,1720400,1683000,1683000,1683000,0,0
12204407,ASUS ROG STRIX 지포스 RTX 3080 O10G GAMING OC D6X 10GB,1431990,1431990,1431990,1431990,1431990,1431990,1431990,1431990,1431990,1431990,1431990,1431990,1431990,1431990,1431990
14474075,ASUS ROG STRIX 지포스 RTX 3080 O10G GAMING OC D6X 10GB White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16249895,ASUS ROG STRIX 지포스 RTX 3080 O12G GAMING OC D6X 12GB,1718920,1718870,1718850,1718830,1718810,1718790,1718770,1718750,1718710,1718690,1718670,0,0,0,1718570
14379920,ASUS ROG STRIX 지포스 RTX 3080 Ti O12G GAMING OC D6X 12GB,2039000,2039000,2039000,2039000,2039000,2039000,2039000,0,2039000,2039000,2039000,2039000,2039000,2039000,2039000
