10780368,ASUS ROG STRIX 라데온 RX 5600 XT O6G GAMING D6 6GB 대원CTS,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000
15013721,ASUS ROG STRIX 라데온 RX 6600 XT O8G GAMING OC D6 8GB 대원CTS,735200,734960,734670,734480,734360,734120,734060,733890
13648004,ASUS ROG STRIX 라데온 RX 6700 XT O12G GAMING OC D6 12GB,1327200,1327200,1327200,1327200,1327200,1327200,1327200,1327200
13653392,ASUS ROG STRIX 라데온 RX 6700 XT O12G GAMING OC D6 12GB 대원CTS,1298000,1298000,1298000,1298000,1298000,1298000,1298000,1298000
13563083,ASUS ROG STRIX 라데온 RX 6800 O16G GAMING OC D6 16GB,1323700,1323640,1323400,1323150,1322910,1322670,1322490,1322310
12990398,ASUS ROG STRIX 라데온 RX 6800 O16G GAMING OC D6 16GB 대원CTS,1360570,1360570,1360570,1360570,1360570,1360570,1360570,1360570
11239998,ASUS ROG STRIX 지포스 GTX 1650 SUPER O4G D6 4GB,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
13467587,ASUS ROG STRIX 지포스 RTX 3060 O12G GAMING OC D6 12GB,764150,738000,738000,738000,0,765990,765990,667280
12821834,ASUS ROG STRIX 지포스 RTX 3060 Ti O8G GAMING OC D6 8GB,1108070,1108070,1108070,1108070,1108070,1108070,1108070,1108070
13212008,ASUS ROG STRIX 지포스 RTX 3070 O8G GAMING OC D6 8GB,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000
14490560,ASUS ROG STRIX 지포스 RTX 3070 O8G GAMING OC D6 8GB White,0,1440000,1440000,1146600,1146600,1146600,1146600,1146600
14444267,ASUS ROG STRIX 지포스 RTX 3070 Ti O8G GAMING OC D6X 8GB,1067180,1067990,1067990,1067990,1067930,1067700,1063070,1062840
16478573,ASUS ROG STRIX 지포스 RTX 3080 GAMING D6X 10GB,0,0,0,0,0,0,0,0
16478888,ASUS ROG STRIX 지포스 RTX 3080 GAMING D6X 12GB,0,1683000,1682940,1682880,1682820,1682580,1578810,1578760
12204407,ASUS ROG STRIX 지포스 RTX 3080 O10G GAMING OC D6X 10GB,1353000,1532400,1532400,1736460,0,1736460,1736460,1736460
14474075,ASUS ROG STRIX 지포스 RTX 3080 O10G GAMING OC D6X 10GB White,3199000,1694110,1694110,1809280,1574290,1809230,1809230,1880000
16249895,ASUS ROG STRIX 지포스 RTX 3080 O12G GAMING OC D6X 12GB,1719000,1686460,1686460,1686460,1686450,1686460,1385160,1672000
14379923,ASUS ROG STRIX 지포스 RTX 3080 Ti GAMING D6X 12GB,4000000,4000000,4000000,4000000,4000000,0,0,0
14379920,ASUS ROG STRIX 지포스 RTX 3080 Ti O12G GAMING OC D6X 12GB,1999000,1999000,1999000,1999000,0,1999000,1999000,1983000
16409387,ASUS ROG STRIX 지포스 RTX 3090 GAMING D6X 24GB,0,0,0,0,0,0,0,0
12204422,ASUS ROG STRIX 지포스 RTX 3090 O24G GAMING OC D6X 24GB,2799000,2797500,2797310,2797070,0,2796830,2796480,2719000
11003103,ASUS TUF 3 Gaming 라데온 RX 5600 XT O6G EVO D6 6GB 대원CTS,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000
16288850,ASUS TUF Gaming 라데온 RX 6500 XT O4G OC D6 4GB 대원CTS,350980,349020,349130,348890,348650,348530,345050,344820
13647839,ASUS TUF Gaming 라데온 RX 6700 XT O12G OC D6 12GB,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000
13653428,ASUS TUF Gaming 라데온 RX 6700 XT O12G OC D6 12GB 대원CTS,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000
13563296,ASUS TUF Gaming 라데온 RX 6800 O16G OC D6 16GB,1181450,1143430,1143430,1143430,0,1143200,1143010,1142780
12990260,ASUS TUF Gaming 라데온 RX 6800 O16G OC D6 16GB 대원CTS,1239300,1176800,1176800,1176800,1184300,1184300,1184300,1184300
13173020,ASUS TUF Gaming 라데온 RX 6800 XT O16G OC D6 16GB,1265980,1265690,1265450,1265260,1265020,1264780,1264490,1256310
13029701,ASUS TUF Gaming 라데온 RX 6800 XT O16G OC D6 16GB 대원CTS,1289100,1289100,1289100,1289100,1289100,1289100,1289100,1275500
13218083,ASUS TUF Gaming 라데온 RX 6900 XT O16G OC D6 16GB,1834000,1834000,1834000,1834000,1834000,1761750,1761510,1761330
15861422,ASUS TUF Gaming 라데온 RX 6900 XT T16G D6 16GB,0,0,0,0,1655610,1603410,1603170,1602940
15401348,ASUS TUF Gaming 지포스 GTX 1650 4G D6 4GB,0,0,0,0,0,0,0,0
12464813,ASUS TUF Gaming 지포스 GTX 1650 O4G P D6 4GB,359280,360000,358830,358390,360000,359520,360000,360000
10513509,ASUS TUF Gaming 지포스 GTX 1650 SUPER O4G D6 4GB,0,0,0,0,0,0,0,0
7463605,ASUS TUF Gaming 지포스 GTX 1660 O6G D5 6GB,552190,552190,552190,552190,533580,533580,533580,533580
11686493,ASUS TUF Gaming 지포스 GTX 1660 SUPER 6G D6 6GB,465000,465000,465000,465000,465000,465000,465000,464000
9909333,ASUS TUF Gaming 지포스 GTX 1660 SUPER O6G D6 6GB,457960,456840,452950,452760,0,444500,432990,430990
9619425,ASUS TUF Gaming 지포스 GTX 1660 Ti O6G D6 6GB,638000,638000,638000,638000,638000,638000,638000,638000
15108326,ASUS TUF Gaming 지포스 GTX 1660 Ti O6G EVO OC D6 6GB,0,0,0,0,487330,487090,486800,486610
